address,Batch,Number of PPs
0xF5166c7c77f19d1Ca7FCef9D3580F3F75e2f144E,4,1
0x2C214951b9f9C66C9CE764E94775bf930720EaC4,1,1
0x2C214951b9f9C66C9CE764E94775bf930720EaC4,3,3
0xAC8b275b9ce0Fee06aBFB98ef20471A9E9dA56c4,1,1
0xc41C8053f399016200D7ef033918aC48C901eC14,1,1
0xA7C0E474A9F3207Db3F7ED86C994E2C8F144dbb1,1,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,1,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,2,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,3,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,4,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,5,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,6,6
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,1,2
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,2,5
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,3,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,4,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,5,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,6,2
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,1,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,2,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,3,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,4,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,5,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,6,1
0x5C9dE63470D0D6d8103f7c83F1Be4F55998706FC,1,1
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,1,4
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,2,2
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,3,4
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,4,1
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,5,3
0x4476ADbc2BAbA6B54c8e510981FA9eCD26Be3F73,6,2
0xB513cBaEF08372756b492d470B3fCA967EC93F56,1,1
0xB513cBaEF08372756b492d470B3fCA967EC93F56,2,1
0xB513cBaEF08372756b492d470B3fCA967EC93F56,3,1
0xB513cBaEF08372756b492d470B3fCA967EC93F56,4,1
0xB513cBaEF08372756b492d470B3fCA967EC93F56,5,2
0xB513cBaEF08372756b492d470B3fCA967EC93F56,6,1
0x615E8f1E0147eef5442F6CcEba898126eBD22b5C,1,4
0xe7Ba7B45a862eBFBe4199393abFE94a8DA1e62b2,1,1
0xe7Ba7B45a862eBFBe4199393abFE94a8DA1e62b2,2,1
0xe7Ba7B45a862eBFBe4199393abFE94a8DA1e62b2,3,1
0xaB0aDD3eBa5146F2cac45CCE42fb24a2A91a12CD,1,1
0xCed3FC4610761F79242D7D8A72FE86F3A1c626b4,1,1
0xD473781816837C7cd2FADC34E66F09786D2E2694,1,2
0xD473781816837C7cd2FADC34E66F09786D2E2694,2,2
0xD473781816837C7cd2FADC34E66F09786D2E2694,3,2
0xD473781816837C7cd2FADC34E66F09786D2E2694,4,2
0xD473781816837C7cd2FADC34E66F09786D2E2694,5,2
0xD473781816837C7cd2FADC34E66F09786D2E2694,6,2
0xde5e1554801DAD3C686e7BBc6EC03d493c07cC12,1,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,1,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,2,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,3,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,4,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,5,1
0xeEB072ecbe68bD123888A60cafD4c8C4fa02c65B,6,1
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,1,2
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,2,2
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,3,2
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,4,4
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,5,2
0xAd8C6cad4d9C7Aef18444982AE88b3eCa941dF58,6,2
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,1,1
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,2,1
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,3,1
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,4,1
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,5,2
0x83D536038B9b1366c47A7d0D7FF6C9B129C92E83,6,3
0x4077895A30d974D97B332fB08Fd556c8FD9c965E,1,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,1,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,2,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,3,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,4,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,5,1
0x22138A0CFf84952C018cbcBF5650149017d6b292,6,1
0xBC9daa710A52320B708cb92F900AD428918cCF75,1,3
0xBC9daa710A52320B708cb92F900AD428918cCF75,2,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,1,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,2,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,3,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,4,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,5,1
0xFF332CcffBeA2F3b45C933063e308fe0FeAFA95d,6,1
0x8c211f3a399Fb4b4a9dd86A9C2234E195e997605,1,1
0x150B43888b42d00E72f6Fc1278286cA6293c0325,1,1
0xa0A8338295e07E11f118DDc8e3F604b84cDf791D,1,1
0xa5254C2Ad5a59e716cbf015B7b910e605ee30804,1,1
0xa5F94aC4202315d2186afc725fF380F283A06080,1,1
0x0e7854240f7760B0Af10619B689Ef10631b636a7,1,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,1,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,2,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,3,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,4,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,5,1
0x5786Ec177Be57110cec0cD1b742BDacD6e1fb42e,6,1
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,1,2
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,2,2
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,3,2
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,4,2
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,5,2
0x2E128BbAf2cf7F1523a434128D91c642C5C7efAd,6,2
0xC73a0Ba657374dE66FeB4268F3D2ea5F4FbD5350,1,1
0x5C7Ab8A5f02ACC6Bb9d1F5304C588bF8472FfC86,1,1
0x2Bc99D8D665323aBB69d50339038d6ce723CB2d5,1,2
0x2265A92f7913efD161EFf0573b2597cdc192f3B8,1,1
0x71A15d2982135732bEEb4890C29D916f467bd78F,1,1
0xeE95e4cf086Fc80dF7Ae0F39DFC9EA53A3eAadcB,1,8
0xe4032666DefA5c9c44d5DE3A3778f31533FD4aa4,1,1
0x0cF598C6C6F7dD5f9646D9489e5BF857D2A5784d,1,1
0x658AD2d74eA37c989fB6CFa89Dfe73E82C46288a,1,1
0x658AD2d74eA37c989fB6CFa89Dfe73E82C46288a,2,1
0x658AD2d74eA37c989fB6CFa89Dfe73E82C46288a,3,1
0x658AD2d74eA37c989fB6CFa89Dfe73E82C46288a,4,1
0x8086b0d45Ad26B4bE9ada29aA5eE88D5abF88175,1,1
0xb0FabE3bCAC50F065DBF68C0B271118DDC005402,1,9
0xb0FabE3bCAC50F065DBF68C0B271118DDC005402,3,4
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,1,1
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,2,1
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,3,1
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,4,2
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,5,1
0x41a6ac7f4e4DBfFEB934f95F1Db58B68C76Dc4dF,6,1
0x45234a781a9fD48570Fe41764a108D9Fb79629f6,1,1
0xdf9e2288b48176B1f4b12548815deCc09E9f2F79,1,1
0xdf9e2288b48176B1f4b12548815deCc09E9f2F79,2,1
0x862E7688780D935f01CceE10EeE5029a70143348,1,1
0x9002512b70b46fF6C674361790055c188a839dA8,1,2
0x3214e141bdAe08Be1f382A885cf3d2a448A5E780,1,1
0xd501e8bfc18E1E42524A3A7af71814b3F422771F,1,1
0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b,1,1
0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b,3,1
0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b,4,1
0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b,5,1
0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b,6,1
0x867Fd0F8A1d55dDa0A594E3d54e8E3441D3563Bf,1,1
0xe885408fEAFEb5B14BDF89Ce84d0bB02333Cfe9b,1,1
0x161e282653B87d5d71fD15d0ca15966154C63259,1,1
0x161e282653B87d5d71fD15d0ca15966154C63259,2,1
0x161e282653B87d5d71fD15d0ca15966154C63259,3,1
0x161e282653B87d5d71fD15d0ca15966154C63259,4,4
0x161e282653B87d5d71fD15d0ca15966154C63259,5,2
0x161e282653B87d5d71fD15d0ca15966154C63259,6,15
0xf99C8873B972b4192e789F55AB954188D0d9A133,1,2
0x169945cf64ebd10139BF7B85C86Bf710947ac9fa,1,2
0x7788DAB2CFB8924fdF8a18099902270Fe7A500A5,1,1
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,1,1
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,3,1
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,4,1
0x6D1A3c6B3D1dF8D02D6Bcd564aEB6Fc729300767,1,1
